metric_00,metric_01,metric_02,metric_03,metric_04,metric_05,metric_06,metric_07,metric_08,metric_09,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28,metric_29,metric_30,metric_31,metric_32,metric_33,metric_34,metric_35,metric_36,metric_37,timestamp,anomaly,anomaly_pred,hybrid_score
0.075269,0.065678,0.070234,0.074332,0.0,0.933333,0.274011,0.0,0.031081,0.0,0.134132,0.081081,0.027397,0.067808,0.125842,0.150562,0.0,0.0,0.121988,0.091978,0.09396,0.074155,0.935405,0.018077,0.03201,0.016584,0.0,0.077702,0.0,0.008596,0.068036,0.048893,0.000386,3.4e-05,0.064432,0.0645,0.0,0.0,2024-02-01 00:00:00,0,0,0.060387065418929124
0.086022,0.080508,0.075808,0.076655,0.0,0.930769,0.274953,0.0,0.031081,0.000122,0.148813,0.162162,0.054795,0.071395,0.123068,0.16449,0.0,0.0,0.121396,0.094162,0.09616,0.076482,0.996555,0.016026,0.033584,0.014735,0.0,0.079396,0.0,0.008596,0.07002,0.050437,0.000386,2.2e-05,0.065228,0.065224,0.0,0.0,2024-02-01 00:05:00,0,0,0.056673859593956134
0.075269,0.064619,0.071349,0.074332,0.0,0.928205,0.274953,0.0,0.03094,0.000366,0.134826,0.094595,0.027397,0.063277,0.129013,0.151546,0.0,0.0,0.115384,0.090118,0.09594,0.075746,0.96031,0.011763,0.033584,0.010921,0.0,0.079534,0.0,0.008596,0.069684,0.055069,0.000386,4.5e-05,0.067111,0.067178,0.0,0.0,2024-02-01 00:10:00,0,0,0.02857155063482721
0.086022,0.048729,0.063545,0.070848,0.0,0.928205,0.27307,0.0,0.02725,0.000244,0.131281,0.081081,0.027397,0.067841,0.110384,0.145566,0.0,0.0,0.135121,0.097381,0.101383,0.080182,0.96153,0.016058,0.036033,0.014677,0.0,0.083435,0.0,0.010029,0.073253,0.051467,0.0,3.4e-05,0.066676,0.066744,0.0,0.0,2024-02-01 00:15:00,0,0,0.08506851053301476
0.086022,0.051907,0.06243,0.070848,0.0,0.933333,0.274011,0.0,0.03094,0.000244,0.10269,0.108108,0.041096,0.075654,0.119104,0.118353,0.0,0.0,0.127359,0.094495,0.098166,0.077517,0.942152,0.018397,0.034109,0.016959,0.0,0.080933,0.0,0.008596,0.070932,0.051467,0.000386,2.2e-05,0.066604,0.066671,0.0,0.0,2024-02-01 00:20:00,0,0,0.07509938965693033
0.086022,0.085805,0.069119,0.072009,0.0,0.928205,0.27307,0.0,0.030798,0.000244,0.165113,0.094595,0.027397,0.068538,0.124257,0.182582,0.0,0.0,0.126164,0.094215,0.099706,0.07871,0.953133,0.016346,0.035333,0.014995,0.0,0.082155,0.0,0.008596,0.071973,0.052496,0.000386,3.4e-05,0.0674,0.067468,0.0,0.0,2024-02-01 00:25:00,0,0,0.039104082510618685
0.086022,0.070975,0.06689,0.070848,0.0,0.925641,0.272128,0.0,0.029662,0.000611,0.119413,0.135135,0.041096,0.067172,0.12069,0.134628,0.0,0.0,0.122406,0.092864,0.094538,0.074533,0.932391,0.013942,0.032185,0.012741,0.0,0.078195,0.0,0.008596,0.068404,0.047864,0.000386,2.2e-05,0.065301,0.065368,0.0,0.0,2024-02-01 00:30:00,0,0,0.023993125026005264
0.086022,0.059322,0.063545,0.068525,0.0,0.925641,0.270245,0.0,0.031507,0.0,0.134672,0.081081,0.027397,0.065812,0.129211,0.150221,0.0,0.0,0.121273,0.091995,0.094318,0.074473,0.950406,0.014744,0.032884,0.013492,0.0,0.078372,0.0,0.010029,0.068644,0.050437,0.000386,3.4e-05,0.064577,0.064572,0.0,0.0,2024-02-01 00:35:00,0,0,0.042261867994936024
0.086022,0.043432,0.056856,0.066202,0.0,0.928205,0.270245,0.0,0.028101,0.0,0.176826,0.067568,0.027397,0.065999,0.115339,0.190757,0.0,0.0,0.121051,0.09275,0.098056,0.077497,0.91818,0.015224,0.034634,0.01407,0.0,0.081012,0.0,0.008596,0.071044,0.053525,0.0,4.5e-05,0.067255,0.067323,0.0,0.0,2024-02-01 00:40:00,0,0,0.08983375871769794
0.086022,0.050847,0.055741,0.065041,0.0,0.930769,0.270245,0.0,0.031933,0.000122,0.177867,0.108108,0.041096,0.07881,0.120888,0.192688,0.0,0.0,0.119979,0.091618,0.095252,0.075189,0.931386,0.011923,0.03236,0.010777,0.0,0.078727,0.0,0.008596,0.06898,0.049923,0.000386,3.4e-05,0.06588,0.065875,0.0,0.0,2024-02-01 00:45:00,0,0,0.06577270900385297
0.086022,0.097458,0.069119,0.069686,0.0,0.928205,0.269303,0.0,0.02952,0.002345,0.148235,0.108108,0.041096,0.0654,0.120888,0.16449,0.0,0.0,0.134887,0.098557,0.103967,0.081873,0.938348,0.012404,0.036208,0.01147,0.0,0.085622,0.0,0.008596,0.074886,0.056613,0.000386,5.6e-05,0.069427,0.069495,0.0,0.0,2024-02-01 00:50:00,0,0,0.07455546288050258
0.086022,0.074153,0.068004,0.068525,0.0,0.928205,0.269303,0.0,0.028243,0.000122,0.133092,0.081081,0.027397,0.064975,0.116726,0.147761,0.0,0.0,0.128924,0.095908,0.098909,0.078312,0.909137,0.014455,0.034808,0.013175,0.0,0.081504,0.0,0.008596,0.071589,0.049408,0.000386,3.4e-05,0.066821,0.066816,0.0,0.0,2024-02-01 00:55:00,0,0,0.017957936553425806
0.086022,0.121822,0.083612,0.074332,0.0,0.925641,0.26742,0.0,0.026682,0.000244,0.13525,0.081081,0.027397,0.063179,0.111574,0.153703,0.0,0.0,0.118735,0.098136,0.099678,0.079367,0.921194,0.013558,0.034284,0.012366,0.0,0.08245,0.0,0.008596,0.072773,0.055584,0.000386,3.4e-05,0.069138,0.069205,0.0,0.0,2024-02-01 01:00:00,0,0,0.02043624696126696
0.086022,0.103814,0.085842,0.075494,0.0,0.925641,0.266478,0.0,0.028811,0.000122,0.133747,0.094595,0.027397,0.065667,0.118113,0.14655,0.0,0.0,0.124255,0.095645,0.098331,0.078392,0.897438,0.014968,0.034983,0.013724,0.0,0.08111,0.0,0.008596,0.071685,0.049923,0.000386,2.2e-05,0.066894,0.066961,0.0,0.0,2024-02-01 01:05:00,0,0,0.02560973274677919
0.086022,0.097458,0.085842,0.076655,0.0,0.933333,0.268362,0.0,0.028953,0.000122,0.120222,0.081081,0.027397,0.072765,0.113357,0.135347,0.0,0.0,0.12853,0.095285,0.099046,0.07877,0.927295,0.013974,0.035508,0.01277,0.0,0.08178,0.0,0.008596,0.072117,0.050437,0.000386,3.4e-05,0.066314,0.066382,0.0,0.0,2024-02-01 01:10:00,0,0,0.02480009447383545
0.086022,0.10911,0.091416,0.078978,0.0,0.930769,0.268362,0.0,0.028101,0.000122,0.147272,0.067568,0.027397,0.065989,0.115141,0.164377,0.0,0.0,0.125487,0.09632,0.101768,0.080023,0.899519,0.013013,0.035158,0.011961,0.0,0.084558,0.0,0.010029,0.073797,0.058672,0.000386,3.4e-05,0.070151,0.070219,0.0,0.0,2024-02-01 01:15:00,0,0,0.04324525405274809
0.075269,0.070975,0.083612,0.076655,0.0,0.928205,0.26742,0.0,0.031223,0.000122,0.131705,0.108108,0.041096,0.064371,0.129608,0.146815,0.0,0.0,0.119918,0.094048,0.09484,0.075707,0.93275,0.016827,0.033759,0.015399,0.0,0.078254,0.0,0.008596,0.069252,0.045805,0.000386,2.2e-05,0.065084,0.065151,0.0,0.0,2024-02-01 01:20:00,0,0,0.030209372115549055
0.086022,0.076271,0.085842,0.077816,0.0,0.930769,0.269303,0.0,0.02725,0.0,0.120646,0.067568,0.027397,0.063965,0.112961,0.135498,0.0,0.0,0.138374,0.100048,0.106221,0.084101,0.889615,0.016538,0.037957,0.015255,0.0,0.087297,0.0,0.008596,0.07671,0.056099,0.000386,4.5e-05,0.069717,0.069784,0.0,0.0,2024-02-01 01:25:00,0,0,0.03744962605161141
0.086022,0.04661,0.074693,0.074332,0.0,0.930769,0.271186,0.0,0.027817,0.000122,0.147696,0.081081,0.027397,0.060617,0.118312,0.164755,0.0,0.0,0.112476,0.090872,0.092421,0.073718,0.902103,0.016186,0.03166,0.014821,0.0,0.0765,0.0,0.008596,0.067635,0.048379,0.000386,4.5e-05,0.065301,0.065368,0.0,0.0,2024-02-01 01:30:00,0,0,0.048090999513102944
0.086022,0.079449,0.076923,0.074332,0.0,0.928205,0.271186,0.0,0.029095,0.0,0.131242,0.081081,0.027397,0.076444,0.111177,0.146209,0.0,0.0,0.130045,0.09646,0.102537,0.081097,0.896792,0.017308,0.036558,0.015833,0.0,0.084696,0.0,0.008596,0.074325,0.056099,0.000386,4.5e-05,0.068776,0.068843,0.0,0.0,2024-02-01 01:35:00,0,0,0.05714561816878836
0.086022,0.075212,0.076923,0.074332,0.0,0.928205,0.272128,0.0,0.026256,0.000122,0.122495,0.081081,0.027397,0.058536,0.113159,0.138943,0.0,0.0,0.135799,0.095101,0.101988,0.08066,0.870523,0.013269,0.036907,0.012163,0.0,0.084105,0.0,0.008596,0.073797,0.05404,0.000386,3.4e-05,0.066604,0.066671,0.0,0.0,2024-02-01 01:40:00,0,0,0.011018237663967876
0.086022,0.102754,0.084727,0.077816,0.0,0.928205,0.27307,0.0,0.028527,0.000366,0.169698,0.108108,0.041096,0.070015,0.113952,0.183907,0.0,0.0,0.121532,0.094697,0.100173,0.079585,0.906122,0.015994,0.035858,0.014648,0.0,0.083002,0.0,0.008596,0.073109,0.055584,0.000386,4.5e-05,0.068414,0.068409,0.0,0.0,2024-02-01 01:45:00,0,0,0.041620573537420366
0.086022,0.059322,0.074693,0.074332,0.0,0.928205,0.274011,0.0,0.02952,0.000244,0.140953,0.081081,0.027397,0.064914,0.122077,0.157753,0.0,0.0,0.119597,0.088767,0.096599,0.076065,0.86636,0.011763,0.033584,0.010921,0.0,0.079987,0.0,0.008596,0.069908,0.054555,0.000386,2.2e-05,0.066676,0.066671,0.0,0.0,2024-02-01 01:50:00,0,0,0.029991111902975653
0.086022,0.034958,0.06466,0.070848,0.0,0.923077,0.274011,0.0,0.025263,0.0,0.218943,0.108108,0.041096,0.05141,0.114744,0.234132,0.0,0.0,0.107708,0.08667,0.091211,0.072226,0.903754,0.015737,0.03131,0.014359,0.0,0.075712,0.0,0.008596,0.066483,0.049923,0.000386,3.4e-05,0.065373,0.065368,0.0,0.0,2024-02-01 01:55:00,0,0,0.08495348611552636
0.086022,0.087924,0.072464,0.073171,0.0,0.923077,0.27307,0.0,0.034204,0.000366,0.130741,0.108108,0.041096,0.100511,0.112366,0.14515,0.0,0.0,0.109642,0.089232,0.097837,0.077656,0.866576,0.016154,0.035158,0.014793,0.0,0.081268,0.0,0.008596,0.071493,0.058157,0.0,2.2e-05,0.068993,0.06906,0.0,0.0,2024-02-01 02:00:00,0,0,0.14763879164303798
0.086022,0.067797,0.070234,0.072009,0.0,0.923077,0.27307,0.0,0.030514,0.000489,0.118835,0.094595,0.041096,0.078029,0.115537,0.136785,0.0,0.0,0.114952,0.088495,0.093741,0.073698,0.920548,0.01484,0.031835,0.013579,0.0,0.077564,0.0,0.008596,0.067716,0.050952,0.000386,3.4e-05,0.06617,0.066237,0.0,0.0,2024-02-01 02:05:00,0,0,0.025209196126701916
0.086022,0.036017,0.059086,0.067364,0.0,0.923077,0.272128,0.0,0.033778,0.000244,0.147619,0.094595,0.041096,0.077931,0.128419,0.160819,0.0,0.0,0.114755,0.092644,0.097534,0.077437,0.884232,0.012372,0.033759,0.011326,0.0,0.080756,0.0,0.008596,0.071092,0.055584,0.000386,2.2e-05,0.068197,0.068264,0.0,0.0,2024-02-01 02:10:00,0,0,0.05195947462134147
0.086022,0.067797,0.06243,0.068525,0.0,0.912821,0.269303,0.0,0.037184,0.000611,0.135211,0.121622,0.041096,0.076,0.142885,0.157829,0.0,0.0,0.124131,0.09403,0.097974,0.077994,0.892485,0.016026,0.034983,0.014648,0.0,0.080697,0.0,0.010029,0.071253,0.048893,0.000386,3.4e-05,0.066025,0.06602,0.0,0.0,2024-02-01 02:15:00,0,0,0.04929419794045043
0.086022,0.059322,0.06466,0.068525,0.0,0.912821,0.26742,0.0,0.041584,0.000122,0.132244,0.121622,0.041096,0.075018,0.161316,0.140721,0.0,0.0,0.12763,0.093732,0.101603,0.079884,0.879208,0.015865,0.035333,0.014533,0.0,0.083849,0.0,0.008596,0.073205,0.057128,0.000386,3.4e-05,0.068993,0.06906,0.0,0.0,2024-02-01 02:20:00,0,0,0.04824618202587262
0.086022,0.042373,0.056856,0.065041,0.0,0.928205,0.270245,0.0,0.033778,0.000244,0.133092,0.121622,0.054795,0.08545,0.122671,0.148367,0.0,0.0,0.12991,0.091636,0.097562,0.076522,0.901601,0.013494,0.033059,0.012423,0.0,0.08048,0.0,0.008596,0.070132,0.050952,0.000386,2.2e-05,0.066242,0.06631,0.0,0.0,2024-02-01 02:25:00,0,0,0.07381138473611495
